what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620145251
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620145317
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620145796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620146090
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620536433
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620536836
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620543644
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620547153
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620548759
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275620549079
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1275620549875
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.ide.ant",1275620549897
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1275620549939
stopped,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1275620549939
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1275620549939
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1275620549939
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1275620549940
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1275620549940
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1275620549940
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1275620550023
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1275620550024
